"orderid","employee","order_date","required_date","shipped_date","shipper","freight","customer","city","country","product","category","current_price","ordered_price","quantity","discount","total_sale_price"
10465,"Nancy Davolio","1997-03-05","1997-04-02","1997-03-14","Federal Shipping","145.04","Vaffeljernet","Århus","Denmark","Thüringer Rostbratwurst","Meat/Poultry","123.79","99",18,"0.1","1603.80"
10465,"Nancy Davolio","1997-03-05","1997-04-02","1997-03-14","Federal Shipping","145.04","Vaffeljernet","Århus","Denmark","Boston Crab Meat","Seafood","18.4","14.7",20,"0","294.00"
10465,"Nancy Davolio","1997-03-05","1997-04-02","1997-03-14","Federal Shipping","145.04","Vaffeljernet","Århus","Denmark","Rogede sild","Seafood","9.5","7.6",30,"0.1","205.20"
10465,"Nancy Davolio","1997-03-05","1997-04-02","1997-03-14","Federal Shipping","145.04","Vaffeljernet","Århus","Denmark","Valkoinen suklaa","Confections","16.25","13",25,"0","325.00"
10466,"Margaret Peacock","1997-03-06","1997-04-03","1997-03-13","Speedy Express","11.93","Comércio Mineiro","Sao Paulo","Brazil","Queso Cabrales","Dairy Products","21","16.8",10,"0","168.00"
10466,"Margaret Peacock","1997-03-06","1997-04-03","1997-03-13","Speedy Express","11.93","Comércio Mineiro","Sao Paulo","Brazil","Spegesild","Seafood","12","9.6",5,"0","48.00"
10467,"Laura Callahan","1997-03-06","1997-04-03","1997-03-11","United Package","4.93","Magazzini Alimentari Riuniti","Bergamo","Italy","Guaraná Fantástica","Beverages","4.5","3.6",28,"0","100.80"
10467,"Laura Callahan","1997-03-06","1997-04-03","1997-03-11","United Package","4.93","Magazzini Alimentari Riuniti","Bergamo","Italy","NuNuCa Nuß-Nougat-Creme","Confections","14","11.2",12,"0","134.40"
10468,"Janet Leverling","1997-03-07","1997-04-04","1997-03-12","Federal Shipping","44.12","Königlich Essen","Brandenburg","Germany","Nord-Ost Matjeshering","Seafood","25.89","20.7",8,"0","165.60"
10468,"Janet Leverling","1997-03-07","1997-04-04","1997-03-12","Federal Shipping","44.12","Königlich Essen","Brandenburg","Germany","Ipoh Coffee","Beverages","46","36.8",15,"0","552.00"
10469,"Nancy Davolio","1997-03-10","1997-04-07","1997-03-14","Speedy Express","60.18","White Clover Markets","Seattle","USA","Chang","Beverages","19","15.2",40,"0.15","516.80"
10469,"Nancy Davolio","1997-03-10","1997-04-07","1997-03-14","Speedy Express","60.18","White Clover Markets","Seattle","USA","Pavlova","Confections","17.45","13.9",35,"0.15","413.52"
10469,"Nancy Davolio","1997-03-10","1997-04-07","1997-03-14","Speedy Express","60.18","White Clover Markets","Seattle","USA","Gula Malacca","Condiments","19.45","15.5",2,"0.15","26.35"
10470,"Margaret Peacock","1997-03-11","1997-04-08","1997-03-14","United Package","64.56","Bon app'","Marseille","France","Carnarvon Tigers","Seafood","62.5","50",30,"0","1500.00"
10470,"Margaret Peacock","1997-03-11","1997-04-08","1997-03-14","United Package","64.56","Bon app'","Marseille","France","Tunnbröd","Grains/Cereals","9","7.2",15,"0","108.00"
10470,"Margaret Peacock","1997-03-11","1997-04-08","1997-03-14","United Package","64.56","Bon app'","Marseille","France","Wimmers gute Semmelknödel","Grains/Cereals","33.25","26.6",8,"0","212.80"
10471,"Andrew Fuller","1997-03-11","1997-04-08","1997-03-18","Federal Shipping","45.59","B's Beverages","London","UK","Uncle Bob's Organic Dried Pears","Produce","30","24",30,"0","720.00"
10471,"Andrew Fuller","1997-03-11","1997-04-08","1997-03-18","Federal Shipping","45.59","B's Beverages","London","UK","Gnocchi di nonna Alice","Grains/Cereals","38","30.4",20,"0","608.00"
10472,"Laura Callahan","1997-03-12","1997-04-09","1997-03-19","Speedy Express","4.2","Seven Seas Imports","London","UK","Guaraná Fantástica","Beverages","4.5","3.6",80,"0.05","273.60"
10472,"Laura Callahan","1997-03-12","1997-04-09","1997-03-19","Speedy Express","4.2","Seven Seas Imports","London","UK","Manjimup Dried Apples","Produce","53","42.4",18,"0","763.20"
10473,"Nancy Davolio","1997-03-13","1997-03-27","1997-03-21","Federal Shipping","16.37","Island Trading","Cowes","UK","Geitost","Dairy Products","2.5","2",12,"0","24.00"
10473,"Nancy Davolio","1997-03-13","1997-03-27","1997-03-21","Federal Shipping","16.37","Island Trading","Cowes","UK","Flotemysost","Dairy Products","21.5","17.2",12,"0","206.40"
10474,"Steven Buchanan","1997-03-13","1997-04-10","1997-03-21","United Package","83.49","Pericles Comidas clásicas","México D.F.","Mexico","Tofu","Produce","23.25","18.6",12,"0","223.20"
10474,"Steven Buchanan","1997-03-13","1997-04-10","1997-03-21","United Package","83.49","Pericles Comidas clásicas","México D.F.","Mexico","Rössle Sauerkraut","Produce","45.6","36.4",18,"0","655.20"
10474,"Steven Buchanan","1997-03-13","1997-04-10","1997-03-21","United Package","83.49","Pericles Comidas clásicas","México D.F.","Mexico","Boston Crab Meat","Seafood","18.4","14.7",21,"0","308.70"
10474,"Steven Buchanan","1997-03-13","1997-04-10","1997-03-21","United Package","83.49","Pericles Comidas clásicas","México D.F.","Mexico","Rhönbräu Klosterbier","Beverages","7.75","6.2",10,"0","62.00"
10475,"Anne Dodsworth","1997-03-14","1997-04-11","1997-04-04","Speedy Express","68.52","Suprêmes délices","Charleroi","Belgium","Gorgonzola Telino","Dairy Products","12.5","10",35,"0.15","297.50"
10475,"Anne Dodsworth","1997-03-14","1997-04-11","1997-04-04","Speedy Express","68.52","Suprêmes délices","Charleroi","Belgium","Louisiana Hot Spiced Okra","Condiments","17","13.6",60,"0.15","693.60"
10475,"Anne Dodsworth","1997-03-14","1997-04-11","1997-04-04","Speedy Express","68.52","Suprêmes délices","Charleroi","Belgium","Lakkalikööri","Beverages","18","14.4",42,"0.15","514.08"
10476,"Laura Callahan","1997-03-17","1997-04-14","1997-03-24","Federal Shipping","4.41","HILARION-Abastos","San Cristóbal","Venezuela","Pâté chinois","Meat/Poultry","24","19.2",2,"0.05","36.48"
10476,"Laura Callahan","1997-03-17","1997-04-14","1997-03-24","Federal Shipping","4.41","HILARION-Abastos","San Cristóbal","Venezuela","Outback Lager","Beverages","15","12",12,"0","144.00"
10477,"Steven Buchanan","1997-03-17","1997-04-14","1997-03-25","United Package","13.02","Princesa Isabel Vinhos","Lisboa","Portugal","Chai","Beverages","18","14.4",15,"0","216.00"
10477,"Steven Buchanan","1997-03-17","1997-04-14","1997-03-25","United Package","13.02","Princesa Isabel Vinhos","Lisboa","Portugal","Sir Rodney's Scones","Confections","10","8",21,"0.25","126.00"
10477,"Steven Buchanan","1997-03-17","1997-04-14","1997-03-25","United Package","13.02","Princesa Isabel Vinhos","Lisboa","Portugal","Chartreuse verte","Beverages","18","14.4",20,"0.25","216.00"
10478,"Andrew Fuller","1997-03-18","1997-04-01","1997-03-26","Federal Shipping","4.81","Victuailles en stock","Lyon","France","Ikura","Seafood","31","24.8",20,"0.05","471.20"
10479,"Janet Leverling","1997-03-19","1997-04-16","1997-03-21","Federal Shipping","708.95","Rattlesnake Canyon Grocery","Albuquerque","USA","Côte de Blaye","Beverages","263.5","210.8",30,"0","6324.00"
10479,"Janet Leverling","1997-03-19","1997-04-16","1997-03-21","Federal Shipping","708.95","Rattlesnake Canyon Grocery","Albuquerque","USA","Perth Pasties","Meat/Poultry","32.8","26.2",28,"0","733.60"
10479,"Janet Leverling","1997-03-19","1997-04-16","1997-03-21","Federal Shipping","708.95","Rattlesnake Canyon Grocery","Albuquerque","USA","Raclette Courdavault","Dairy Products","55","44",60,"0","2640.00"
10479,"Janet Leverling","1997-03-19","1997-04-16","1997-03-21","Federal Shipping","708.95","Rattlesnake Canyon Grocery","Albuquerque","USA","Wimmers gute Semmelknödel","Grains/Cereals","33.25","26.6",30,"0","798.00"
10480,"Michael Suyama","1997-03-20","1997-04-17","1997-03-24","United Package","1.35","Folies gourmandes","Lille","France","Zaanse koeken","Confections","9.5","7.6",30,"0","228.00"
10480,"Michael Suyama","1997-03-20","1997-04-17","1997-03-24","United Package","1.35","Folies gourmandes","Lille","France","Raclette Courdavault","Dairy Products","55","44",12,"0","528.00"
10481,"Laura Callahan","1997-03-20","1997-04-17","1997-03-25","United Package","64.33","Ricardo Adocicados","Rio de Janeiro","Brazil","Maxilaku","Confections","20","16",24,"0","384.00"
10481,"Laura Callahan","1997-03-20","1997-04-17","1997-03-25","United Package","64.33","Ricardo Adocicados","Rio de Janeiro","Brazil","Camembert Pierrot","Dairy Products","34","27.2",40,"0","1088.00"
10482,"Nancy Davolio","1997-03-21","1997-04-18","1997-04-10","Federal Shipping","7.48","Lazy K Kountry Store","Walla Walla","USA","Boston Crab Meat","Seafood","18.4","14.7",10,"0","147.00"
10483,"Robert King","1997-03-24","1997-04-21","1997-04-25","United Package","15.28","White Clover Markets","Seattle","USA","Sasquatch Ale","Beverages","14","11.2",35,"0.05","372.40"
10483,"Robert King","1997-03-24","1997-04-21","1997-04-25","United Package","15.28","White Clover Markets","Seattle","USA","Original Frankfurter grüne Soße","Condiments","13","10.4",30,"0.05","296.40"
10484,"Janet Leverling","1997-03-24","1997-04-21","1997-04-01","Federal Shipping","6.88","B's Beverages","London","UK","Sir Rodney's Scones","Confections","10","8",14,"0","112.00"
10484,"Janet Leverling","1997-03-24","1997-04-21","1997-04-01","Federal Shipping","6.88","B's Beverages","London","UK","Boston Crab Meat","Seafood","18.4","14.7",10,"0","147.00"
10484,"Janet Leverling","1997-03-24","1997-04-21","1997-04-01","Federal Shipping","6.88","B's Beverages","London","UK","Manjimup Dried Apples","Produce","53","42.4",3,"0","127.20"
10485,"Margaret Peacock","1997-03-25","1997-04-08","1997-03-31","United Package","64.45","LINO-Delicateses","I. de Margarita","Venezuela","Chang","Beverages","19","15.2",20,"0.1","273.60"
10485,"Margaret Peacock","1997-03-25","1997-04-08","1997-03-31","United Package","64.45","LINO-Delicateses","I. de Margarita","Venezuela","Aniseed Syrup","Condiments","10","8",20,"0.1","144.00"
10485,"Margaret Peacock","1997-03-25","1997-04-08","1997-03-31","United Package","64.45","LINO-Delicateses","I. de Margarita","Venezuela","Pâté chinois","Meat/Poultry","24","19.2",30,"0.1","518.40"
10485,"Margaret Peacock","1997-03-25","1997-04-08","1997-03-31","United Package","64.45","LINO-Delicateses","I. de Margarita","Venezuela","Outback Lager","Beverages","15","12",60,"0.1","648.00"
10486,"Nancy Davolio","1997-03-26","1997-04-23","1997-04-02","United Package","30.53","HILARION-Abastos","San Cristóbal","Venezuela","Queso Cabrales","Dairy Products","21","16.8",5,"0","84.00"
10486,"Nancy Davolio","1997-03-26","1997-04-23","1997-04-02","United Package","30.53","HILARION-Abastos","San Cristóbal","Venezuela","Manjimup Dried Apples","Produce","53","42.4",25,"0","1060.00"
10486,"Nancy Davolio","1997-03-26","1997-04-23","1997-04-02","United Package","30.53","HILARION-Abastos","San Cristóbal","Venezuela","Longlife Tofu","Produce","10","8",16,"0","128.00"
10487,"Andrew Fuller","1997-03-26","1997-04-23","1997-03-28","United Package","71.07","Queen Cozinha","Sao Paulo","Brazil","Teatime Chocolate Biscuits","Confections","9.2","7.3",5,"0","36.50"
10487,"Andrew Fuller","1997-03-26","1997-04-23","1997-03-28","United Package","71.07","Queen Cozinha","Sao Paulo","Brazil","Gumbär Gummibärchen","Confections","31.23","24.9",30,"0","747.00"
10487,"Andrew Fuller","1997-03-26","1997-04-23","1997-03-28","United Package","71.07","Queen Cozinha","Sao Paulo","Brazil","Tourtière","Meat/Poultry","7.45","5.9",24,"0.25","106.20"
10488,"Laura Callahan","1997-03-27","1997-04-24","1997-04-02","United Package","4.93","Frankenversand","München","Germany","Raclette Courdavault","Dairy Products","55","44",30,"0","1320.00"
10488,"Laura Callahan","1997-03-27","1997-04-24","1997-04-02","United Package","4.93","Frankenversand","München","Germany","Röd Kaviar","Seafood","15","12",20,"0.2","192.00"
10489,"Michael Suyama","1997-03-28","1997-04-25","1997-04-09","United Package","5.29","Piccolo und mehr","Salzburg","Austria","Queso Cabrales","Dairy Products","21","16.8",15,"0.25","189.00"
10489,"Michael Suyama","1997-03-28","1997-04-25","1997-04-09","United Package","5.29","Piccolo und mehr","Salzburg","Austria","Pavlova","Confections","17.45","13.9",18,"0","250.20"
10490,"Robert King","1997-03-31","1997-04-28","1997-04-03","United Package","210.19","HILARION-Abastos","San Cristóbal","Venezuela","Raclette Courdavault","Dairy Products","55","44",60,"0","2640.00"
10490,"Robert King","1997-03-31","1997-04-28","1997-04-03","United Package","210.19","HILARION-Abastos","San Cristóbal","Venezuela","Scottish Longbreads","Confections","12.5","10",30,"0","300.00"
10490,"Robert King","1997-03-31","1997-04-28","1997-04-03","United Package","210.19","HILARION-Abastos","San Cristóbal","Venezuela","Rhönbräu Klosterbier","Beverages","7.75","6.2",36,"0","223.20"
10491,"Laura Callahan","1997-03-31","1997-04-28","1997-04-08","Federal Shipping","16.96","Furia Bacalhau e Frutos do Mar","Lisboa","Portugal","Gula Malacca","Condiments","19.45","15.5",15,"0.15","197.62"
10491,"Laura Callahan","1997-03-31","1997-04-28","1997-04-08","Federal Shipping","16.96","Furia Bacalhau e Frutos do Mar","Lisboa","Portugal","Original Frankfurter grüne Soße","Condiments","13","10.4",7,"0.15","61.88"
10492,"Janet Leverling","1997-04-01","1997-04-29","1997-04-11","Speedy Express","62.89","Bottom-Dollar Markets","Tsawassen","Canada","NuNuCa Nuß-Nougat-Creme","Confections","14","11.2",60,"0.05","638.40"
10492,"Janet Leverling","1997-04-01","1997-04-29","1997-04-11","Speedy Express","62.89","Bottom-Dollar Markets","Tsawassen","Canada","Singaporean Hokkien Fried Mee","Grains/Cereals","14","11.2",20,"0.05","212.80"
10493,"Margaret Peacock","1997-04-02","1997-04-30","1997-04-10","Federal Shipping","10.64","La maison d'Asie","Toulouse","France","Louisiana Fiery Hot Pepper Sauce","Condiments","21.05","16.8",15,"0.1","226.80"
10493,"Margaret Peacock","1997-04-02","1997-04-30","1997-04-10","Federal Shipping","10.64","La maison d'Asie","Toulouse","France","Louisiana Hot Spiced Okra","Condiments","17","13.6",10,"0.1","122.40"
10493,"Margaret Peacock","1997-04-02","1997-04-30","1997-04-10","Federal Shipping","10.64","La maison d'Asie","Toulouse","France","Gudbrandsdalsost","Dairy Products","36","28.8",10,"0.1","259.20"
10494,"Margaret Peacock","1997-04-02","1997-04-30","1997-04-09","United Package","65.99","Comércio Mineiro","Sao Paulo","Brazil","Gnocchi di nonna Alice","Grains/Cereals","38","30.4",30,"0","912.00"
10495,"Janet Leverling","1997-04-03","1997-05-01","1997-04-11","Federal Shipping","4.65","Laughing Bacchus Wine Cellars","Vancouver","Canada","Tunnbröd","Grains/Cereals","9","7.2",10,"0","72.00"
10495,"Janet Leverling","1997-04-03","1997-05-01","1997-04-11","Federal Shipping","4.65","Laughing Bacchus Wine Cellars","Vancouver","Canada","Jack's New England Clam Chowder","Seafood","9.65","7.7",20,"0","154.00"
10495,"Janet Leverling","1997-04-03","1997-05-01","1997-04-11","Federal Shipping","4.65","Laughing Bacchus Wine Cellars","Vancouver","Canada","Original Frankfurter grüne Soße","Condiments","13","10.4",5,"0","52.00"
10496,"Robert King","1997-04-04","1997-05-02","1997-04-07","United Package","46.77","Tradição Hipermercados","Sao Paulo","Brazil","Gorgonzola Telino","Dairy Products","12.5","10",20,"0.05","190.00"
10497,"Robert King","1997-04-04","1997-05-02","1997-04-07","Speedy Express","36.21","Lehmanns Marktstand","Frankfurt a.M.","Germany","Gnocchi di nonna Alice","Grains/Cereals","38","30.4",14,"0","425.60"
10497,"Robert King","1997-04-04","1997-05-02","1997-04-07","Speedy Express","36.21","Lehmanns Marktstand","Frankfurt a.M.","Germany","Mozzarella di Giovanni","Dairy Products","34.8","27.8",25,"0","695.00"
10497,"Robert King","1997-04-04","1997-05-02","1997-04-07","Speedy Express","36.21","Lehmanns Marktstand","Frankfurt a.M.","Germany","Original Frankfurter grüne Soße","Condiments","13","10.4",25,"0","260.00"
10498,"Laura Callahan","1997-04-07","1997-05-05","1997-04-11","United Package","29.75","HILARION-Abastos","San Cristóbal","Venezuela","Guaraná Fantástica","Beverages","4.5","4.5",14,"0","63.00"
10498,"Laura Callahan","1997-04-07","1997-05-05","1997-04-11","United Package","29.75","HILARION-Abastos","San Cristóbal","Venezuela","Boston Crab Meat","Seafood","18.4","18.4",5,"0","92.00"
10498,"Laura Callahan","1997-04-07","1997-05-05","1997-04-11","United Package","29.75","HILARION-Abastos","San Cristóbal","Venezuela","Singaporean Hokkien Fried Mee","Grains/Cereals","14","14",30,"0","420.00"
10499,"Margaret Peacock","1997-04-08","1997-05-06","1997-04-16","United Package","102.02","LILA-Supermercado","Barquisimeto","Venezuela","Rössle Sauerkraut","Produce","45.6","45.6",20,"0","912.00"
10499,"Margaret Peacock","1997-04-08","1997-05-06","1997-04-16","United Package","102.02","LILA-Supermercado","Barquisimeto","Venezuela","Maxilaku","Confections","20","20",25,"0","500.00"
10500,"Michael Suyama","1997-04-09","1997-05-07","1997-04-17","Speedy Express","42.68","La maison d'Asie","Toulouse","France","Genen Shouyu","Condiments","13","15.5",12,"0.05","176.70"
10500,"Michael Suyama","1997-04-09","1997-05-07","1997-04-17","Speedy Express","42.68","La maison d'Asie","Toulouse","France","Rössle Sauerkraut","Produce","45.6","45.6",8,"0.05","346.56"
10501,"Anne Dodsworth","1997-04-09","1997-05-07","1997-04-16","Federal Shipping","8.85","Blauer See Delikatessen","Mannheim","Germany","Tourtière","Meat/Poultry","7.45","7.45",20,"0","149.00"
10502,"Andrew Fuller","1997-04-10","1997-05-08","1997-04-29","Speedy Express","69.32","Pericles Comidas clásicas","México D.F.","Mexico","Rogede sild","Seafood","9.5","9.5",21,"0","199.50"
10502,"Andrew Fuller","1997-04-10","1997-05-08","1997-04-29","Speedy Express","69.32","Pericles Comidas clásicas","México D.F.","Mexico","Perth Pasties","Meat/Poultry","32.8","32.8",6,"0","196.80"
10502,"Andrew Fuller","1997-04-10","1997-05-08","1997-04-29","Speedy Express","69.32","Pericles Comidas clásicas","México D.F.","Mexico","Laughing Lumberjack Lager","Beverages","14","14",30,"0","420.00"
10503,"Michael Suyama","1997-04-11","1997-05-09","1997-04-16","United Package","16.74","Hungry Owl All-Night Grocers","Cork","Ireland","Tofu","Produce","23.25","23.25",70,"0","1627.50"
10503,"Michael Suyama","1997-04-11","1997-05-09","1997-04-16","United Package","16.74","Hungry Owl All-Night Grocers","Cork","Ireland","Louisiana Fiery Hot Pepper Sauce","Condiments","21.05","21.05",20,"0","421.00"
10504,"Margaret Peacock","1997-04-11","1997-05-09","1997-04-18","Federal Shipping","59.13","White Clover Markets","Seattle","USA","Chang","Beverages","19","19",12,"0","228.00"
10504,"Margaret Peacock","1997-04-11","1997-05-09","1997-04-18","Federal Shipping","59.13","White Clover Markets","Seattle","USA","Sir Rodney's Scones","Confections","10","10",12,"0","120.00"
10504,"Margaret Peacock","1997-04-11","1997-05-09","1997-04-18","Federal Shipping","59.13","White Clover Markets","Seattle","USA","Perth Pasties","Meat/Poultry","32.8","32.8",10,"0","328.00"
10504,"Margaret Peacock","1997-04-11","1997-05-09","1997-04-18","Federal Shipping","59.13","White Clover Markets","Seattle","USA","Sirop d'érable","Condiments","28.5","28.5",25,"0","712.50"
10505,"Janet Leverling","1997-04-14","1997-05-12","1997-04-21","Federal Shipping","7.13","Mère Paillarde","Montréal","Canada","Tarte au sucre","Confections","49.3","49.3",3,"0","147.90"
10506,"Anne Dodsworth","1997-04-15","1997-05-13","1997-05-02","United Package","21.19","Königlich Essen","Brandenburg","Germany","NuNuCa Nuß-Nougat-Creme","Confections","14","14",18,"0.1","226.80"
10506,"Anne Dodsworth","1997-04-15","1997-05-13","1997-05-02","United Package","21.19","Königlich Essen","Brandenburg","Germany","Outback Lager","Beverages","15","15",14,"0.1","189.00"
10507,"Robert King","1997-04-15","1997-05-13","1997-04-22","Speedy Express","47.45","Antonio Moreno Taquería","México D.F.","Mexico","Ipoh Coffee","Beverages","46","46",15,"0.15","586.50"
10507,"Robert King","1997-04-15","1997-05-13","1997-04-22","Speedy Express","47.45","Antonio Moreno Taquería","México D.F.","Mexico","Chocolade","Confections","12.75","12.75",15,"0.15","162.56"
10508,"Nancy Davolio","1997-04-16","1997-05-14","1997-05-13","United Package","4.99","Ottilies Käseladen","Köln","Germany","Konbu","Seafood","6","6",10,"0","60.00"
10508,"Nancy Davolio","1997-04-16","1997-05-14","1997-05-13","United Package","4.99","Ottilies Käseladen","Köln","Germany","Chartreuse verte","Beverages","18","18",10,"0","180.00"
10509,"Margaret Peacock","1997-04-17","1997-05-15","1997-04-29","Speedy Express","0.15","Blauer See Delikatessen","Mannheim","Germany","Rössle Sauerkraut","Produce","45.6","45.6",3,"0","136.80"
10510,"Michael Suyama","1997-04-18","1997-05-16","1997-04-28","Federal Shipping","367.63","Save-a-lot Markets","Boise","USA","Thüringer Rostbratwurst","Meat/Poultry","123.79","123.79",36,"0","4456.44"
10510,"Michael Suyama","1997-04-18","1997-05-16","1997-04-28","Federal Shipping","367.63","Save-a-lot Markets","Boise","USA","Rhönbräu Klosterbier","Beverages","7.75","7.75",36,"0.1","251.10"
10511,"Margaret Peacock","1997-04-18","1997-05-16","1997-04-21","Federal Shipping","350.64","Bon app'","Marseille","France","Chef Anton's Cajun Seasoning","Condiments","22","22",50,"0.15","935.00"
10511,"Margaret Peacock","1997-04-18","1997-05-16","1997-04-21","Federal Shipping","350.64","Bon app'","Marseille","France","Uncle Bob's Organic Dried Pears","Produce","30","30",50,"0.15","1275.00"
10511,"Margaret Peacock","1997-04-18","1997-05-16","1997-04-21","Federal Shipping","350.64","Bon app'","Marseille","France","Northwoods Cranberry Sauce","Condiments","40","40",10,"0.15","340.00"
10512,"Robert King","1997-04-21","1997-05-19","1997-04-24","United Package","3.53","Familia Arquibaldo","Sao Paulo","Brazil","Guaraná Fantástica","Beverages","4.5","4.5",10,"0.15","38.25"
10512,"Robert King","1997-04-21","1997-05-19","1997-04-24","United Package","3.53","Familia Arquibaldo","Sao Paulo","Brazil","Spegesild","Seafood","12","12",9,"0.15","91.80"
10512,"Robert King","1997-04-21","1997-05-19","1997-04-24","United Package","3.53","Familia Arquibaldo","Sao Paulo","Brazil","Zaanse koeken","Confections","9.5","9.5",6,"0.15","48.45"
10512,"Robert King","1997-04-21","1997-05-19","1997-04-24","United Package","3.53","Familia Arquibaldo","Sao Paulo","Brazil","Camembert Pierrot","Dairy Products","34","34",12,"0.15","346.80"
10513,"Robert King","1997-04-22","1997-06-03","1997-04-28","Speedy Express","105.65","Die Wandernde Kuh","Stuttgart","Germany","Sir Rodney's Scones","Confections","10","10",40,"0.2","320.00"
10513,"Robert King","1997-04-22","1997-06-03","1997-04-28","Speedy Express","105.65","Die Wandernde Kuh","Stuttgart","Germany","Mascarpone Fabioli","Dairy Products","32","32",50,"0.2","1280.00"
10513,"Robert King","1997-04-22","1997-06-03","1997-04-28","Speedy Express","105.65","Die Wandernde Kuh","Stuttgart","Germany","Sirop d'érable","Condiments","28.5","28.5",15,"0.2","342.00"
10514,"Janet Leverling","1997-04-22","1997-05-20","1997-05-16","United Package","789.95","Ernst Handel","Graz","Austria","Sir Rodney's Marmalade","Confections","81","81",39,"0","3159.00"
10514,"Janet Leverling","1997-04-22","1997-05-20","1997-05-16","United Package","789.95","Ernst Handel","Graz","Austria","Rössle Sauerkraut","Produce","45.6","45.6",35,"0","1596.00"
10514,"Janet Leverling","1997-04-22","1997-05-20","1997-05-16","United Package","789.95","Ernst Handel","Graz","Austria","Gnocchi di nonna Alice","Grains/Cereals","38","38",70,"0","2660.00"
10514,"Janet Leverling","1997-04-22","1997-05-20","1997-05-16","United Package","789.95","Ernst Handel","Graz","Austria","Louisiana Fiery Hot Pepper Sauce","Condiments","21.05","21.05",39,"0","820.95"
10514,"Janet Leverling","1997-04-22","1997-05-20","1997-05-16","United Package","789.95","Ernst Handel","Graz","Austria","Rhönbräu Klosterbier","Beverages","7.75","7.75",50,"0","387.50"
10515,"Andrew Fuller","1997-04-23","1997-05-07","1997-05-23","Speedy Express","204.47","QUICK-Stop","Cunewalde","Germany","Mishi Kobe Niku","Meat/Poultry","97","97",16,"0.15","1319.20"
10515,"Andrew Fuller","1997-04-23","1997-05-07","1997-05-23","Speedy Express","204.47","QUICK-Stop","Cunewalde","Germany","Pavlova","Confections","17.45","17.45",50,"0","872.50"
10515,"Andrew Fuller","1997-04-23","1997-05-07","1997-05-23","Speedy Express","204.47","QUICK-Stop","Cunewalde","Germany","Schoggi Schokolade","Confections","43.9","43.9",120,"0","5268.00"
10515,"Andrew Fuller","1997-04-23","1997-05-07","1997-05-23","Speedy Express","204.47","QUICK-Stop","Cunewalde","Germany","Geitost","Dairy Products","2.5","2.5",16,"0.15","34.00"
10515,"Andrew Fuller","1997-04-23","1997-05-07","1997-05-23","Speedy Express","204.47","QUICK-Stop","Cunewalde","Germany","Camembert Pierrot","Dairy Products","34","34",84,"0.15","2427.60"
10516,"Andrew Fuller","1997-04-24","1997-05-22","1997-05-01","Federal Shipping","62.78","Hungry Owl All-Night Grocers","Cork","Ireland","Carnarvon Tigers","Seafood","62.5","62.5",25,"0.1","1406.25"
10516,"Andrew Fuller","1997-04-24","1997-05-22","1997-05-01","Federal Shipping","62.78","Hungry Owl All-Night Grocers","Cork","Ireland","Jack's New England Clam Chowder","Seafood","9.65","9.65",80,"0.1","694.80"
10516,"Andrew Fuller","1997-04-24","1997-05-22","1997-05-01","Federal Shipping","62.78","Hungry Owl All-Night Grocers","Cork","Ireland","Singaporean Hokkien Fried Mee","Grains/Cereals","14","14",20,"0","280.00"
10517,"Janet Leverling","1997-04-24","1997-05-22","1997-04-29","Federal Shipping","32.07","North/South","London","UK","Filo Mix","Grains/Cereals","7","7",6,"0","42.00"
10517,"Janet Leverling","1997-04-24","1997-05-22","1997-04-29","Federal Shipping","32.07","North/South","London","UK","Raclette Courdavault","Dairy Products","55","55",4,"0","220.00"
10517,"Janet Leverling","1997-04-24","1997-05-22","1997-04-29","Federal Shipping","32.07","North/South","London","UK","Outback Lager","Beverages","15","15",6,"0","90.00"
10518,"Margaret Peacock","1997-04-25","1997-05-09","1997-05-05","United Package","218.15","Tortuga Restaurante","México D.F.","Mexico","Guaraná Fantástica","Beverages","4.5","4.5",5,"0","22.50"
10518,"Margaret Peacock","1997-04-25","1997-05-09","1997-05-05","United Package","218.15","Tortuga Restaurante","México D.F.","Mexico","Côte de Blaye","Beverages","263.5","263.5",15,"0","3952.50"
10518,"Margaret Peacock","1997-04-25","1997-05-09","1997-05-05","United Package","218.15","Tortuga Restaurante","México D.F.","Mexico","Gula Malacca","Condiments","19.45","19.45",9,"0","175.05"
10519,"Michael Suyama","1997-04-28","1997-05-26","1997-05-01","Federal Shipping","91.76","Chop-suey Chinese","Bern","Switzerland","Ikura","Seafood","31","31",16,"0.05","471.20"
10519,"Michael Suyama","1997-04-28","1997-05-26","1997-05-01","Federal Shipping","91.76","Chop-suey Chinese","Bern","Switzerland","Gnocchi di nonna Alice","Grains/Cereals","38","38",40,"0","1520.00"
10519,"Michael Suyama","1997-04-28","1997-05-26","1997-05-01","Federal Shipping","91.76","Chop-suey Chinese","Bern","Switzerland","Camembert Pierrot","Dairy Products","34","34",10,"0.05","323.00"
10520,"Robert King","1997-04-29","1997-05-27","1997-05-01","Speedy Express","13.37","Santé Gourmet","Stavern","Norway","Guaraná Fantástica","Beverages","4.5","4.5",8,"0","36.00"
10520,"Robert King","1997-04-29","1997-05-27","1997-05-01","Speedy Express","13.37","Santé Gourmet","Stavern","Norway","Perth Pasties","Meat/Poultry","32.8","32.8",5,"0","164.00"
10521,"Laura Callahan","1997-04-29","1997-05-27","1997-05-02","United Package","17.22","Cactus Comidas para llevar","Buenos Aires","Argentina","Steeleye Stout","Beverages","18","18",3,"0","54.00"
